model,dataset,accuracy,accuracy_std,hamming_loss,hamming_loss_std,f1,f1_std
binary_relevance,birds,0.5118,0.0567,-0.0459,0.007,0.2858,0.0719
binary_relevance,emotions,0.2933,0.0424,-0.2136,0.0194,0.6186,0.0359
binary_relevance,scene,0.536,0.1395,-0.125,0.0437,0.2746,0.0449
binary_relevance,yeast,0.2127,0.0174,-0.2058,0.0089,0.4253,0.0183
binary_relevance,enron,0.0382,0.0202,-0.0641,0.0095,0.0651,0.0202
binary_relevance,genbase,0.9425,0.0358,-0.0027,0.0018,0.5208,0.1067
binary_relevance,medical,0.4951,0.0728,-0.0162,0.0029,0.1753,0.0234
binary_relevance,tmc2007_500,0.2663,0.0486,-0.0648,0.0085,0.4271,0.0652
classifier_chain,birds,0.4933,0.0655,-0.0528,0.0079,0.2702,0.0615
classifier_chain,emotions,0.3255,0.0342,-0.2116,0.012,0.64,0.0383
classifier_chain,scene,0.563,0.1465,-0.1359,0.0509,0.2785,0.042
classifier_chain,yeast,0.2486,0.0204,-0.2159,0.0081,0.4352,0.0119
classifier_chain,enron,0.071,0.083,-0.0644,0.011,0.0685,0.0201
classifier_chain,genbase,0.9425,0.0358,-0.0029,0.0018,0.5169,0.1037
classifier_chain,medical,0.5206,0.0653,-0.0161,0.0027,0.1934,0.0228
classifier_chain,tmc2007_500,0.2738,0.0477,-0.0656,0.0085,0.4339,0.0655
label_powerset,birds,0.5072,0.0639,-0.056,0.0068,0.2669,0.0537
label_powerset,emotions,0.3153,0.0386,-0.2215,0.0187,0.6314,0.0421
label_powerset,scene,0.5792,0.1424,-0.1334,0.0513,0.2834,0.0496
label_powerset,yeast,0.2367,0.0192,-0.2214,0.0068,0.4258,0.0166
label_powerset,enron,0.0862,0.0883,-0.0706,0.0121,0.0682,0.0192
label_powerset,genbase,0.944,0.0353,-0.0031,0.0022,0.5149,0.1072
label_powerset,medical,0.5205,0.0631,-0.0188,0.0028,0.1897,0.0253
label_powerset,tmc2007_500,0.2705,0.0622,-0.0767,0.0061,0.3765,0.0374
majority_voting_classifier,birds,0.0544,0.0315,-0.1178,0.0106,0.0382,0.0168
majority_voting_classifier,emotions,0.1568,0.054,-0.2715,0.0362,0.5189,0.0464
majority_voting_classifier,scene,0.2686,0.1992,-0.2126,0.1011,0.2358,0.0865
majority_voting_classifier,yeast,0.0463,0.0094,-0.284,0.0102,0.2089,0.006
majority_voting_classifier,enron,0.0029,0.0039,-0.0798,0.009,0.0046,0.0027
majority_voting_classifier,genbase,0.6067,0.1309,-0.022,0.0084,0.1775,0.0147
majority_voting_classifier,medical,0.1739,0.0394,-0.0274,0.002,0.0312,0.0109
majority_voting_classifier,tmc2007_500,0.0057,0.0025,-0.1844,0.007,0.0628,0.0038
label_space_partition_classifier,birds,0.0544,0.0315,-0.1425,0.0117,0.0372,0.0168
label_space_partition_classifier,emotions,0.1467,0.0408,-0.2802,0.0318,0.5125,0.0433
label_space_partition_classifier,scene,0.1632,0.0745,-0.2334,0.102,0.2545,0.0959
label_space_partition_classifier,yeast,0.0447,0.0103,-0.2858,0.01,0.2116,0.0052
label_space_partition_classifier,enron,0.0,0.0,-0.0842,0.0061,0.0055,0.0035
label_space_partition_classifier,genbase,0.6067,0.1309,-0.0221,0.0083,0.1774,0.0146
label_space_partition_classifier,medical,0.1739,0.0394,-0.0274,0.002,0.0311,0.0109
label_space_partition_classifier,tmc2007_500,0.0057,0.0024,-0.1863,0.0072,0.0621,0.0037
rakeld,birds,0.0217,0.0173,-0.4441,0.03,0.1016,0.0174
rakeld,emotions,0.2039,0.037,-0.2558,0.0253,0.6374,0.0382
rakeld,scene,0.1396,0.0766,-0.2518,0.0654,0.2861,0.0458
rakeld,yeast,0.0947,0.0132,-0.3017,0.009,0.4489,0.0123
rakeld,enron,0.0006,0.0018,-0.2102,0.0489,0.1246,0.0274
rakeld,genbase,0.9412,0.0476,-0.0025,0.0019,0.5447,0.114
rakeld,medical,0.1534,0.0198,-0.0366,0.0029,0.1554,0.0317
rakeld,tmc2007_500,0.0128,0.0061,-0.5892,0.0214,0.203,0.003
mlaram,birds,0.0807,0.0295,-0.1317,0.0186,0.1489,0.0417
mlaram,emotions,0.2396,0.0394,-0.2413,0.0206,0.6165,0.0518
mlaram,scene,0.58,0.1306,-0.1218,0.0406,0.3172,0.0549
mlaram,yeast,0.2147,0.0206,-0.2267,0.013,0.4425,0.0179
mlaram,enron,0.0693,0.0234,-0.0633,0.0072,0.0758,0.015
mlaram,genbase,0.9563,0.0369,-0.0017,0.0014,0.5477,0.1195
mlaram,medical,0.3568,0.0466,-0.0255,0.0031,0.1667,0.0257
mlaram,tmc2007_500,0.4612,0.1839,-0.0491,0.0194,0.6719,0.1655
